episode_id,split,task,tool,tool_signature,features,length,stiffness,blocked_side,brace_available,fragile,ood_signature,oracle,oracle_reason,method,prediction,method_reason
0,train,pull_occluded_object,tool_026_hook+soft_pad,hook+soft_pad,hook+soft_pad,2,3,under,1,0,0,True,valid_contact_trace,contact_grammar,True,"grasp_handle -> seat_hook_behind -> draw_along_axis | hand:tool_handle,tool:target_behind"
0,train,pull_occluded_object,tool_026_hook+soft_pad,hook+soft_pad,hook+soft_pad,2,3,under,1,0,0,True,valid_contact_trace,unordered_contacts,True,required_contacts_present_without_order_or_role
0,train,pull_occluded_object,tool_026_hook+soft_pad,hook+soft_pad,hook+soft_pad,2,3,under,1,0,0,True,valid_contact_trace,static_affordance,True,task_feature_affordance_match
0,train,pull_occluded_object,tool_026_hook+soft_pad,hook+soft_pad,hook+soft_pad,2,3,under,1,0,0,True,valid_contact_trace,flat_pair_memory,True,memorized_task_tool_signature
0,train,pull_occluded_object,tool_026_hook+soft_pad,hook+soft_pad,hook+soft_pad,2,3,under,1,0,0,True,valid_contact_trace,mutated_no_side_gate,True,"grasp_handle -> seat_hook_behind -> draw_along_axis | hand:tool_handle,tool:target_behind"
0,train,pull_occluded_object,tool_026_hook+soft_pad,hook+soft_pad,hook+soft_pad,2,3,under,1,0,0,True,valid_contact_trace,mutated_no_brace_gate,True,"grasp_handle -> seat_hook_behind -> draw_along_axis | hand:tool_handle,tool:target_behind"
1,train,press_recessed_button,tool_058_narrow_tip,narrow_tip,narrow_tip,3,2,inside,1,0,1,False,too_compliant,contact_grammar,False,production_blocked_stiffness
1,train,press_recessed_button,tool_058_narrow_tip,narrow_tip,narrow_tip,3,2,inside,1,0,1,False,too_compliant,unordered_contacts,True,required_contacts_present_without_order_or_role
1,train,press_recessed_button,tool_058_narrow_tip,narrow_tip,narrow_tip,3,2,inside,1,0,1,False,too_compliant,static_affordance,True,task_feature_affordance_match
1,train,press_recessed_button,tool_058_narrow_tip,narrow_tip,narrow_tip,3,2,inside,1,0,1,False,too_compliant,flat_pair_memory,True,memorized_task_tool_signature
1,train,press_recessed_button,tool_058_narrow_tip,narrow_tip,narrow_tip,3,2,inside,1,0,1,False,too_compliant,mutated_no_side_gate,False,production_blocked_stiffness
1,train,press_recessed_button,tool_058_narrow_tip,narrow_tip,narrow_tip,3,2,inside,1,0,1,False,too_compliant,mutated_no_brace_gate,False,production_blocked_stiffness
2,train,tamp_powder,tool_067_long_shaft+wedge,long_shaft+wedge,long_shaft+wedge,4,1,top,1,0,1,False,missing_feature:flat_end,contact_grammar,False,production_blocked_missing_flat_end
2,train,tamp_powder,tool_067_long_shaft+wedge,long_shaft+wedge,long_shaft+wedge,4,1,top,1,0,1,False,missing_feature:flat_end,unordered_contacts,False,missing_static_contact_label
2,train,tamp_powder,tool_067_long_shaft+wedge,long_shaft+wedge,long_shaft+wedge,4,1,top,1,0,1,False,missing_feature:flat_end,static_affordance,False,no_affordance_region_flat_end
2,train,tamp_powder,tool_067_long_shaft+wedge,long_shaft+wedge,long_shaft+wedge,4,1,top,1,0,1,False,missing_feature:flat_end,flat_pair_memory,False,unseen_task_tool_signature
2,train,tamp_powder,tool_067_long_shaft+wedge,long_shaft+wedge,long_shaft+wedge,4,1,top,1,0,1,False,missing_feature:flat_end,mutated_no_side_gate,False,production_blocked_missing_flat_end
2,train,tamp_powder,tool_067_long_shaft+wedge,long_shaft+wedge,long_shaft+wedge,4,1,top,1,0,1,False,missing_feature:flat_end,mutated_no_brace_gate,False,production_blocked_missing_flat_end
3,train,pry_lid,tool_031_wedge,wedge,wedge,2,1,front,0,0,1,False,too_compliant,contact_grammar,False,production_blocked_stiffness
3,train,pry_lid,tool_031_wedge,wedge,wedge,2,1,front,0,0,1,False,too_compliant,unordered_contacts,True,required_contacts_present_without_order_or_role
3,train,pry_lid,tool_031_wedge,wedge,wedge,2,1,front,0,0,1,False,too_compliant,static_affordance,True,task_feature_affordance_match
3,train,pry_lid,tool_031_wedge,wedge,wedge,2,1,front,0,0,1,False,too_compliant,flat_pair_memory,False,unseen_task_tool_signature
3,train,pry_lid,tool_031_wedge,wedge,wedge,2,1,front,0,0,1,False,too_compliant,mutated_no_side_gate,False,production_blocked_stiffness
3,train,pry_lid,tool_031_wedge,wedge,wedge,2,1,front,0,0,1,False,too_compliant,mutated_no_brace_gate,False,production_blocked_stiffness
4,train,pry_lid,tool_006_soft_pad,soft_pad,soft_pad,4,3,front,1,0,1,False,missing_feature:wedge,contact_grammar,False,production_blocked_missing_wedge
4,train,pry_lid,tool_006_soft_pad,soft_pad,soft_pad,4,3,front,1,0,1,False,missing_feature:wedge,unordered_contacts,False,missing_static_contact_label
4,train,pry_lid,tool_006_soft_pad,soft_pad,soft_pad,4,3,front,1,0,1,False,missing_feature:wedge,static_affordance,False,no_affordance_region_wedge
4,train,pry_lid,tool_006_soft_pad,soft_pad,soft_pad,4,3,front,1,0,1,False,missing_feature:wedge,flat_pair_memory,False,unseen_task_tool_signature
4,train,pry_lid,tool_006_soft_pad,soft_pad,soft_pad,4,3,front,1,0,1,False,missing_feature:wedge,mutated_no_side_gate,False,production_blocked_missing_wedge
4,train,pry_lid,tool_006_soft_pad,soft_pad,soft_pad,4,3,front,1,0,1,False,missing_feature:wedge,mutated_no_brace_gate,False,production_blocked_missing_wedge
5,train,pry_lid,tool_023_flat_end+wedge,flat_end+wedge,flat_end+wedge,3,1,none,1,0,1,False,too_compliant,contact_grammar,False,production_blocked_stiffness
5,train,pry_lid,tool_023_flat_end+wedge,flat_end+wedge,flat_end+wedge,3,1,none,1,0,1,False,too_compliant,unordered_contacts,True,required_contacts_present_without_order_or_role
5,train,pry_lid,tool_023_flat_end+wedge,flat_end+wedge,flat_end+wedge,3,1,none,1,0,1,False,too_compliant,static_affordance,True,task_feature_affordance_match
5,train,pry_lid,tool_023_flat_end+wedge,flat_end+wedge,flat_end+wedge,3,1,none,1,0,1,False,too_compliant,flat_pair_memory,True,memorized_task_tool_signature
5,train,pry_lid,tool_023_flat_end+wedge,flat_end+wedge,flat_end+wedge,3,1,none,1,0,1,False,too_compliant,mutated_no_side_gate,False,production_blocked_stiffness
5,train,pry_lid,tool_023_flat_end+wedge,flat_end+wedge,flat_end+wedge,3,1,none,1,0,1,False,too_compliant,mutated_no_brace_gate,False,production_blocked_stiffness
6,train,drag_distant_ring,tool_095_flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,5,3,none,1,0,0,True,valid_contact_trace,contact_grammar,True,"grasp_handle -> thread_hook_inside -> drag_with_tension | hand:tool_handle,tool:target_inside"
6,train,drag_distant_ring,tool_095_flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,5,3,none,1,0,0,True,valid_contact_trace,unordered_contacts,True,required_contacts_present_without_order_or_role
6,train,drag_distant_ring,tool_095_flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,5,3,none,1,0,0,True,valid_contact_trace,static_affordance,True,task_feature_affordance_match
6,train,drag_distant_ring,tool_095_flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,5,3,none,1,0,0,True,valid_contact_trace,flat_pair_memory,True,memorized_task_tool_signature
6,train,drag_distant_ring,tool_095_flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,5,3,none,1,0,0,True,valid_contact_trace,mutated_no_side_gate,True,"grasp_handle -> thread_hook_inside -> drag_with_tension | hand:tool_handle,tool:target_inside"
6,train,drag_distant_ring,tool_095_flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,flat_edge+hook+long_shaft,5,3,none,1,0,0,True,valid_contact_trace,mutated_no_brace_gate,True,"grasp_handle -> thread_hook_inside -> drag_with_tension | hand:tool_handle,tool:target_inside"
7,train,pry_lid,tool_087_flat_edge+hinge,flat_edge+hinge,flat_edge+hinge,2,4,under,0,0,1,False,missing_feature:wedge,contact_grammar,False,production_blocked_missing_wedge
7,train,pry_lid,tool_087_flat_edge+hinge,flat_edge+hinge,flat_edge+hinge,2,4,under,0,0,1,False,missing_feature:wedge,unordered_contacts,False,missing_static_contact_label
7,train,pry_lid,tool_087_flat_edge+hinge,flat_edge+hinge,flat_edge+hinge,2,4,under,0,0,1,False,missing_feature:wedge,static_affordance,False,no_affordance_region_wedge
7,train,pry_lid,tool_087_flat_edge+hinge,flat_edge+hinge,flat_edge+hinge,2,4,under,0,0,1,False,missing_feature:wedge,flat_pair_memory,False,unseen_task_tool_signature
7,train,pry_lid,tool_087_flat_edge+hinge,flat_edge+hinge,flat_edge+hinge,2,4,under,0,0,1,False,missing_feature:wedge,mutated_no_side_gate,False,production_blocked_missing_wedge
7,train,pry_lid,tool_087_flat_edge+hinge,flat_edge+hinge,flat_edge+hinge,2,4,under,0,0,1,False,missing_feature:wedge,mutated_no_brace_gate,False,production_blocked_missing_wedge
8,train,sweep_debris,tool_001_flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,2,4,front,1,0,1,True,valid_contact_trace,contact_grammar,True,"grasp_handle -> lay_flat_edge_front -> sweep_with_support | hand:tool_handle,tool:target_front"
8,train,sweep_debris,tool_001_flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,2,4,front,1,0,1,True,valid_contact_trace,unordered_contacts,True,required_contacts_present_without_order_or_role
8,train,sweep_debris,tool_001_flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,2,4,front,1,0,1,True,valid_contact_trace,static_affordance,True,task_feature_affordance_match
8,train,sweep_debris,tool_001_flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,2,4,front,1,0,1,True,valid_contact_trace,flat_pair_memory,True,memorized_task_tool_signature
8,train,sweep_debris,tool_001_flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,flat_edge+long_shaft+wedge,2,4,front,1,0,1,True,valid_contact_trace,mutated_no_side_gate,True,"grasp_handle -> lay_flat_edge_front -> sweep_with_support | hand:tool_handle,tool:target_front"
