paper_id,title,authors,year,venue_or_source,url,abstract,query_source,source_kind,categories,relevance_score,landscape_rank,serious_skim,deep_read,hostile_prior,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
p_34bfa33b25d2,Learning Granularity-Aware Affordances from Human-Object Interaction for Tool-Based Functional Grasping in Dexterous Robotics,"Fan Yang, Wenrui Chen, Kailun Yang, Haoran Lin, DongSheng Luo, Conghui Tang, Zhiyong Li, and Yaonan Wang",2024,arXiv,https://arxiv.org/abs/2407.00614,Learns fine- and coarse-grained affordance regions for tool-based dexterous functional grasping.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,67.35,1,1,1,1,"Enable robots to select, grasp, design, or use tools for physical tasks.","Learned or engineered affordance labels, maps, relations, or key regions.","affordances can be localized before the full contact sequence is known; tool function is stable across grasp, approach, and target geometry; training distribution covers the relevant contact compositions",grasp taxonomy or candidate grasp set,correct region with wrong contact order; grasp makes the functional end unreachable or reverses the required contact side; out-of-distribution tool compositions that require unseen role ordering,"static or learned action-region representations; tool-use transfer, task-oriented grasping, and tool design",a falsifiable account of when the same affordance label fails under a different contact history; generalization from tool parts to ordered tool-target-environment contact productions; distribution-free checks for impossible contact sequences
p_1617f55ed23b,Robot Tool Use: A Survey,"Meiying Qin, David Hsu, and Brian Scassellati",2023,Frontiers in Robotics and AI,https://doi.org/10.3389/frobt.2022.1009488,"Defines robot tool use and organizes learning, transfer, reasoning, and application challenges.",curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,65.9,2,1,1,1,"Enable robots to select, grasp, design, or use tools for physical tasks.","Learned policy, dynamics model, representation, or self-supervised predictor.","tool function is stable across grasp, approach, and target geometry; training distribution covers the relevant contact compositions","object geometry, task family, and controller interface",grasp makes the functional end unreachable or reverses the required contact side; out-of-distribution tool compositions that require unseen role ordering,"tool-use transfer, task-oriented grasping, and tool design",generalization from tool parts to ordered tool-target-environment contact productions; distribution-free checks for impossible contact sequences
p_2a870ad5292b,Task-Oriented Grasping with Semantic and Geometric Constraints,"Anis Sahbani, Sahar El-Khoury, and Philippe Bidaud",2012,Robotics and Autonomous Systems,https://doi.org/10.1016/j.robot.2012.07.009,Reviews task-oriented grasping where the grasp must serve later manipulation rather than only force closure.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,64.5,3,1,1,1,"Improve robot manipulation, planning, or embodied action generalization.","Sensing/control loop using tactile, force, or impedance signals.","geometry, friction, compliance, and object roles remain within modeled regimes",grasp taxonomy or candidate grasp set,boundary cases where hidden physical preconditions fail,general robot manipulation representation learning,explicit contact-role compositionality and falsification tests
p_1e653482fd54,CALAMARI: Contact-Aware and Language Conditioned Spatial Action Maps for Contact-Rich Manipulation,Jimmy Wu and collaborators,2023,CoRL,https://proceedings.mlr.press/v229/wi23a.html,Predicts contact-aware spatial action maps for contact-rich manipulation.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,63.7,4,1,1,1,Plan or control contact-rich manipulation under discontinuous mechanics.,Language-model or vision-language-model decomposition into robot actions.,contact mode abstractions are available or can be searched without semantic role drift; language decompositions preserve physical contact preconditions,prompted skill API and object labels,role-equivalent contacts that induce different mechanics; plausible verbal plan that skips a necessary physical contact,contact-mode planning and contact-rich control; LLM program/planner interfaces for robot manipulation,a compact symbolic language for role-typed contact transitions across tools
p_3be235db1402,Towards Tight Convex Relaxations for Contact-Rich Manipulation,"Bernhard Paus Graesdal, Shao Yuan Chew Chia, Tobia Marcucci, Savva Morozov, Alexandre Amice, Pablo A. Parrilo, and Russ Tedrake",2024,RSS,https://roboticsproceedings.org/rss20/p132.html,Plans through contacts with convex relaxations for hybrid contact-rich manipulation.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,63.35,5,1,1,1,Plan or control contact-rich manipulation under discontinuous mechanics.,"Optimization over trajectories, contact modes, or continuous constraints.",contact mode abstractions are available or can be searched without semantic role drift,"object geometry, task family, and controller interface",role-equivalent contacts that induce different mechanics,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools
p_464eaf719d82,Learning Task-Oriented Grasping for Tool Manipulation from Simulated Self-Supervision,"Kuan Fang, Yuke Zhu, Animesh Garg, Silvio Savarese, and Li Fei-Fei",2018,RSS,https://roboticsproceedings.org/rss14/p12.html,Learns task-oriented grasps and manipulation policies jointly for sweeping and hammering tools.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,63.1,6,1,1,1,"Enable robots to select, grasp, design, or use tools for physical tasks.","Learned policy, dynamics model, representation, or self-supervised predictor.","tool function is stable across grasp, approach, and target geometry; training distribution covers the relevant contact compositions",grasp taxonomy or candidate grasp set; simulator contact parameters; camera viewpoint and perceptual segmentation quality,grasp makes the functional end unreachable or reverses the required contact side; out-of-distribution tool compositions that require unseen role ordering,"tool-use transfer, task-oriented grasping, and tool design",generalization from tool parts to ordered tool-target-environment contact productions; distribution-free checks for impossible contact sequences
p_c409f64eb30e,Learning and Generalization of Behavior-Grounded Tool Affordances,Jivko Sinapov and Alexander Stoytchev,2007,IEEE ICDL,https://doi.org/10.1109/DEVLRN.2007.4354064,Learns tool affordance categories from robot interaction outcomes and generalizes to new tools.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,63.1,7,1,1,1,"Enable robots to select, grasp, design, or use tools for physical tasks.","Learned or engineered affordance labels, maps, relations, or key regions.","affordances can be localized before the full contact sequence is known; tool function is stable across grasp, approach, and target geometry; training distribution covers the relevant contact compositions","object geometry, task family, and controller interface",correct region with wrong contact order; grasp makes the functional end unreachable or reverses the required contact side; out-of-distribution tool compositions that require unseen role ordering,"static or learned action-region representations; tool-use transfer, task-oriented grasping, and tool design",a falsifiable account of when the same affordance label fails under a different contact history; generalization from tool parts to ordered tool-target-environment contact productions; distribution-free checks for impossible contact sequences
p_823c740b3195,"Planning, Sensing, and Control for Contact-rich Robotic Manipulation",Tao Pang,2023,PhD Thesis,https://groups.csail.mit.edu/robotics-center/public_papers/Pang23.pdf,Develops methods for contact-rich manipulation and argues that contact planning requires structure beyond mode search.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,62.9,8,1,1,1,Plan or control contact-rich manipulation under discontinuous mechanics.,Algorithmic robot manipulation model or empirical system.,contact mode abstractions are available or can be searched without semantic role drift,predicate vocabulary and action library,role-equivalent contacts that induce different mechanics,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools; mechanism-level error diagnosis instead of plan/no-plan output
p_0b3bc7f14477,A Brief Review of Affordance in Robotic Manipulation Research,"Natsuki Yamanobe, Weiwei Wan, Ixchel G. Ramirez-Alpizar, Damien Petit, Tokuo Tsuji, Shuichi Akizuki, Manabu Hashimoto, Kazuyuki Nagata, and Kensuke Harada",2017,Advanced Robotics,https://doi.org/10.1080/01691864.2017.1394912,"Surveys affordance research in robotic manipulation, especially grasping and object use.",curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,62.1,9,1,1,1,Represent action possibilities of objects or regions for manipulation.,"Learned or engineered affordance labels, maps, relations, or key regions.",affordances can be localized before the full contact sequence is known,grasp taxonomy or candidate grasp set,correct region with wrong contact order,static or learned action-region representations,a falsifiable account of when the same affordance label fails under a different contact history
p_2a156c001d27,Learning to Design and Use Tools for Robotic Manipulation,"Lin Shao, Toki Migimatsu, Qiang Zhang, Karen Yang, and Jeannette Bohg",2020,CoRL,https://proceedings.mlr.press/v100/shao20a.html,Uses differentiable simulation to optimize tool morphology and use for contact-rich manipulation tasks.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,61.55,10,1,1,1,"Enable robots to select, grasp, design, or use tools for physical tasks.","Learned policy, dynamics model, representation, or self-supervised predictor.","tool function is stable across grasp, approach, and target geometry; contact mode abstractions are available or can be searched without semantic role drift; training distribution covers the relevant contact compositions",simulator contact parameters,role-equivalent contacts that induce different mechanics; grasp makes the functional end unreachable or reverses the required contact side; out-of-distribution tool compositions that require unseen role ordering,"contact-mode planning and contact-rich control; tool-use transfer, task-oriented grasping, and tool design",a compact symbolic language for role-typed contact transitions across tools; generalization from tool parts to ordered tool-target-environment contact productions; distribution-free checks for impossible contact sequences
p_ba5aed4f219d,"ContactNets: Learning Discontinuous Contact Dynamics with Smooth, Implicit Representations",Michael Posa and colleagues,2020,CoRL,https://arxiv.org/abs/2009.11193,Learns contact dynamics with implicit representations that better handle discontinuities.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,61.55,11,1,1,1,Plan or control contact-rich manipulation under discontinuous mechanics.,"Learned policy, dynamics model, representation, or self-supervised predictor.",contact mode abstractions are available or can be searched without semantic role drift; training distribution covers the relevant contact compositions,"object geometry, task family, and controller interface",role-equivalent contacts that induce different mechanics; out-of-distribution tool compositions that require unseen role ordering,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools; distribution-free checks for impossible contact sequences
p_137437a01c7e,VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,Wenlong Huang and collaborators,2023,CoRL,https://arxiv.org/abs/2307.05973,Uses LLMs and vision-language models to synthesize 3D value maps for manipulation.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,61.2,12,1,1,1,Ground broad pretrained models in embodied robot actions.,Language-model or vision-language-model decomposition into robot actions.,language decompositions preserve physical contact preconditions,camera viewpoint and perceptual segmentation quality; prompted skill API and object labels,plausible verbal plan that skips a necessary physical contact,LLM program/planner interfaces for robot manipulation,explicit contact-role compositionality and falsification tests
p_633a2cc368e5,Behavior-Grounded Representation of Tool Affordances,Alexander Stoytchev,2005,ICRA Workshop,https://home.engineering.iastate.edu/~alexs/papers/ICRA05-WKSP.pdf,Grounds tool affordances in exploratory robot behavior rather than static object categories.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,61.1,13,1,1,1,"Enable robots to select, grasp, design, or use tools for physical tasks.","Learned or engineered affordance labels, maps, relations, or key regions.","affordances can be localized before the full contact sequence is known; tool function is stable across grasp, approach, and target geometry","object geometry, task family, and controller interface",correct region with wrong contact order; grasp makes the functional end unreachable or reverses the required contact side,"static or learned action-region representations; tool-use transfer, task-oriented grasping, and tool design",a falsifiable account of when the same affordance label fails under a different contact history; generalization from tool parts to ordered tool-target-environment contact productions
p_0c88ea3843d8,Building Affordance Relations for Robotic Agents: A Review,"Paola Ardn, ric Pairet, Ronald Petrick, Subramanian Ramamoorthy, and Katrin Lohan",2021,IJCAI,https://doi.org/10.24963/ijcai.2021/590,Reviews design choices for affordance relations in robotics and AI agents.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,61.0,14,1,1,1,Represent action possibilities of objects or regions for manipulation.,"Learned or engineered affordance labels, maps, relations, or key regions.",affordances can be localized before the full contact sequence is known,"object geometry, task family, and controller interface",correct region with wrong contact order,static or learned action-region representations,a falsifiable account of when the same affordance label fails under a different contact history
p_1fef89dde654,PDDLStream: Integrating Symbolic Planners and Blackbox Samplers via Optimistic Adaptive Planning,"Caelan Reed Garrett, Toms Lozano-Prez, and Leslie Pack Kaelbling",2020,ICAPS,https://arxiv.org/abs/1802.08705,Connects symbolic planning to continuous samplers for robot task and motion planning.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,60.95,15,1,1,1,Bridge symbolic task structure and continuous robot motion feasibility.,"Task-and-motion planning with samplers, predicates, and geometric checks.",predicates expose the contact roles needed by the continuous planner,predicate vocabulary and action library,boundary cases where hidden physical preconditions fail,symbolic precondition/effect planning,mechanism-level error diagnosis instead of plan/no-plan output
p_de34ee458ae5,Hierarchical Task and Motion Planning in the Now,Leslie Pack Kaelbling and Toms Lozano-Prez,2011,ICRA,https://doi.org/10.1109/ICRA.2011.5980391,Integrates symbolic task planning with geometric motion planning under hierarchical refinement.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,60.5,16,1,1,1,Bridge symbolic task structure and continuous robot motion feasibility.,"Task-and-motion planning with samplers, predicates, and geometric checks.",predicates expose the contact roles needed by the continuous planner,predicate vocabulary and action library,boundary cases where hidden physical preconditions fail,symbolic precondition/effect planning,mechanism-level error diagnosis instead of plan/no-plan output
p_9ec07f7b8256,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,Anthony Brohan and collaborators,2023,arXiv,https://arxiv.org/abs/2307.15818,Transfers vision-language model knowledge into robotic action prediction.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,59.7,17,1,1,1,Ground broad pretrained models in embodied robot actions.,Language-model or vision-language-model decomposition into robot actions.,language decompositions preserve physical contact preconditions,camera viewpoint and perceptual segmentation quality; prompted skill API and object labels,plausible verbal plan that skips a necessary physical contact,LLM program/planner interfaces for robot manipulation,explicit contact-role compositionality and falsification tests
p_97dcf55ac5d3,Code as Policies: Language Model Programs for Embodied Control,Jacky Liang and collaborators,2023,ICRA,https://arxiv.org/abs/2209.07753,Generates robot policy code from language model programs and perception APIs.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,59.7,18,1,1,1,Ground broad pretrained models in embodied robot actions.,Language-model or vision-language-model decomposition into robot actions.,training distribution covers the relevant contact compositions; language decompositions preserve physical contact preconditions,prompted skill API and object labels,out-of-distribution tool compositions that require unseen role ordering; plausible verbal plan that skips a necessary physical contact,LLM program/planner interfaces for robot manipulation,explicit contact-role compositionality and falsification tests
p_3ac5e353f4bf,Sequential Composition of Dynamically Dexterous Robot Behaviors,"Robert R. Burridge, Alfred A. Rizzi, and Daniel E. Koditschek",1999,IJRR,https://doi.org/10.1177/02783649922066385,"Composes robot behaviors through domains of attraction, pressuring any claim of novelty about compositional skill sequencing.",curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,59.7,19,1,1,1,"Improve robot manipulation, planning, or embodied action generalization.",Algorithmic robot manipulation model or empirical system.,"geometry, friction, compliance, and object roles remain within modeled regimes","object geometry, task family, and controller interface",boundary cases where hidden physical preconditions fail,general robot manipulation representation learning,explicit contact-role compositionality and falsification tests
p_00871f0182f0,Affordances are Versatile Intermediate Representations for Robot Manipulation,Authors unknown in local seed,2024,arXiv,https://arxiv.org/abs/2411.02704,Conditions policies on affordance representations as intermediate guidance for manipulation generalization.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,59.35,20,1,1,1,Represent action possibilities of objects or regions for manipulation.,"Learned or engineered affordance labels, maps, relations, or key regions.",affordances can be localized before the full contact sequence is known,"object geometry, task family, and controller interface",correct region with wrong contact order,static or learned action-region representations,a falsifiable account of when the same affordance label fails under a different contact history
p_ac1733f3a2cb,RT-1: Robotics Transformer for Real-World Control at Scale,Anthony Brohan and collaborators,2022,arXiv,https://arxiv.org/abs/2212.06817,Scales language-conditioned robot policy learning across many real-world manipulation tasks.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,59.25,21,1,1,1,Ground broad pretrained models in embodied robot actions.,Language-model or vision-language-model decomposition into robot actions.,training distribution covers the relevant contact compositions; language decompositions preserve physical contact preconditions,prompted skill API and object labels,out-of-distribution tool compositions that require unseen role ordering; plausible verbal plan that skips a necessary physical contact,LLM program/planner interfaces for robot manipulation,distribution-free checks for impossible contact sequences
p_793b2bcee2e8,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",Michael Ahn and collaborators,2022,CoRL,https://arxiv.org/abs/2204.01691,Combines language-model planning with affordance/value estimates for robot task execution.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,59.25,22,1,1,1,Represent action possibilities of objects or regions for manipulation.,"Learned or engineered affordance labels, maps, relations, or key regions.",affordances can be localized before the full contact sequence is known; language decompositions preserve physical contact preconditions,predicate vocabulary and action library; prompted skill API and object labels,correct region with wrong contact order; plausible verbal plan that skips a necessary physical contact,static or learned action-region representations; LLM program/planner interfaces for robot manipulation,a falsifiable account of when the same affordance label fails under a different contact history; mechanism-level error diagnosis instead of plan/no-plan output
p_eac86772a671,Affordance Detection for Task-Specific Grasping Using Deep Learning,"Mia Kokic, Johannes A. Stork, Joshua A. Haustein, and Danica Kragic",2017,Humanoids,https://doi.org/10.1109/HUMANOIDS.2017.8246892,"Uses affordances to relate task, object, and grasp through learned visual labels and approach constraints.",curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,59.1,23,1,1,1,Represent action possibilities of objects or regions for manipulation.,"Learned or engineered affordance labels, maps, relations, or key regions.",affordances can be localized before the full contact sequence is known; training distribution covers the relevant contact compositions,grasp taxonomy or candidate grasp set,correct region with wrong contact order; out-of-distribution tool compositions that require unseen role ordering,static or learned action-region representations,a falsifiable account of when the same affordance label fails under a different contact history; distribution-free checks for impossible contact sequences
p_cbcf3ac5deb8,Logic-Geometric Programming: An Optimization-Based Approach to Combined Task and Motion Planning,Marc Toussaint,2015,IJCAI,https://www.ijcai.org/Proceedings/15/Papers/154.pdf,Couples logical skeletons and continuous trajectory optimization for manipulation planning.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,59.1,24,1,1,1,Bridge symbolic task structure and continuous robot motion feasibility.,"Optimization over trajectories, contact modes, or continuous constraints.",predicates expose the contact roles needed by the continuous planner,predicate vocabulary and action library,boundary cases where hidden physical preconditions fail,symbolic precondition/effect planning,mechanism-level error diagnosis instead of plan/no-plan output
p_6e22ddbdaa9a,"Stable Pushing: Mechanics, Controllability, and Planning",Kevin M. Lynch and Matthew T. Mason,1996,IJRR,https://doi.org/10.1177/027836499601500803,Formalizes stable pushing mechanics and planning for planar contact manipulation.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,57.1,25,1,1,1,Plan or control contact-rich manipulation under discontinuous mechanics.,Algorithmic robot manipulation model or empirical system.,contact mode abstractions are available or can be searched without semantic role drift,predicate vocabulary and action library,role-equivalent contacts that induce different mechanics,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools; mechanism-level error diagnosis instead of plan/no-plan output
p_108659a1b14f,An Exploration of Sensorless Manipulation,Michael A. Erdmann and Matthew T. Mason,1988,IEEE Journal on Robotics and Automation,https://doi.org/10.1109/56.805,Shows that manipulation can be planned by exploiting environmental contact and mechanical funnels.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,57.1,26,1,1,1,Plan or control contact-rich manipulation under discontinuous mechanics.,Algorithmic robot manipulation model or empirical system.,contact mode abstractions are available or can be searched without semantic role drift,"object geometry, task family, and controller interface",role-equivalent contacts that induce different mechanics,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools
p_30ad23931526,Mechanics and Planning of Manipulator Pushing Operations,Matthew T. Mason,1986,IJRR,https://doi.org/10.1177/027836498600500303,Analyzes quasi-static pushing and shows how contact mechanics constrain manipulation plans.,curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,57.1,27,1,1,1,Plan or control contact-rich manipulation under discontinuous mechanics.,Algorithmic robot manipulation model or empirical system.,contact mode abstractions are available or can be searched without semantic role drift,predicate vocabulary and action library,role-equivalent contacts that induce different mechanics,contact-mode planning and contact-rich control,a compact symbolic language for role-typed contact transitions across tools; mechanism-level error diagnosis instead of plan/no-plan output
p_f3b89b816cba,The Ecological Approach to Visual Perception,James J. Gibson,1979,Book,https://www.routledge.com/The-Ecological-Approach-to-Visual-Perception/Gibson/p/book/9781848725782,"Introduces affordances as action possibilities grounded in agent-environment relations, a conceptual ancestor of robotic affordance models.",curated_hostile_seed,curated,robotics tool-use contact manipulation affordance planning,57.1,28,1,1,1,Represent action possibilities of objects or regions for manipulation.,"Learned or engineered affordance labels, maps, relations, or key regions.",affordances can be localized before the full contact sequence is known,"object geometry, task family, and controller interface",correct region with wrong contact order,static or learned action-region representations,a falsifiable account of when the same affordance label fails under a different contact history
arxiv_2505_01399_v3,Physics-Conditioned Grasping for Stable Tool Use,Noah Trupin; Zixing Wang; Ahmed H. Qureshi,2025,arXiv,http://arxiv.org/abs/2505.01399v3,"Tool use often fails not because robots misidentify tools, but because grasps cannot withstand task-induced wrench. Existing vision-language manipulation systems ground tools and contact regions from language yet select grasps under quasi-static or geometry-only assumptions. During interaction, inertial impulse and lever-arm amplification generate wrist torque and tangential loads that trigger slip and rotation. We introduce inverse Tool-use Planning (iTuP), which selects grasps by minimizing predicted interaction wrench along a task-conditioned trajectory. From rigid-body mechanics, we derive torque, slip, and alignment penalties, and train a Stable Dynamic Grasp Network (SDG-Net) to approximate these trajectory-conditioned costs for real-time scoring. Across hammering, sweeping, knocking, and reaching in simulation and on hardware, SDG-Net suppresses induced torque up to 17.6%, shifts grasps below empirically observed instability thresholds, and improves real-world success by 17.5% over a compositional baseline. Improvements concentrate where wrench amplification dominates, showing that robot tool use requires wrench-aware grasp selection, not perception alone.",tool_use,arxiv,cs.RO,30.6,29,1,1,1,"Enable robots to select, grasp, design, or use tools for physical tasks.","Optimization over trajectories, contact modes, or continuous constraints.","tool function is stable across grasp, approach, and target geometry; contact mode abstractions are available or can be searched without semantic role drift; language decompositions preserve physical contact preconditions",grasp taxonomy or candidate grasp set; simulator contact parameters; camera viewpoint and perceptual segmentation quality; predicate vocabulary and action library; prompted skill API and object labels,role-equivalent contacts that induce different mechanics; grasp makes the functional end unreachable or reverses the required contact side; plausible verbal plan that skips a necessary physical contact,"contact-mode planning and contact-rich control; tool-use transfer, task-oriented grasping, and tool design; LLM program/planner interfaces for robot manipulation",a compact symbolic language for role-typed contact transitions across tools; generalization from tool parts to ordered tool-target-environment contact productions; mechanism-level error diagnosis instead of plan/no-plan output
arxiv_2505_24382_v1,MagicGripper: A Multimodal Sensor-Integrated Gripper for Contact-Rich Robotic Manipulation,Wen Fan; Haoran Li; Dandan Zhang,2025,arXiv,http://arxiv.org/abs/2505.24382v1,"Contact-rich manipulation in unstructured environments demands precise, multimodal perception to enable robust and adaptive control. Vision-based tactile sensors (VBTSs) have emerged as an effective solution; however, conventional VBTSs often face challenges in achieving compact, multi-modal functionality due to hardware constraints and algorithmic complexity. In this work, we present MagicGripper, a multimodal sensor-integrated gripper designed for contact-rich robotic manipulation. Building on our prior design, MagicTac, we develop a compact variant, mini-MagicTac, which features a three-dimensional, multi-layered grid embedded in a soft elastomer. MagicGripper integrates mini-MagicTac, enabling high-resolution tactile feedback alongside proximity and visual sensing within a compact, gripper-compatible form factor. We conduct a thorough evaluation of mini-MagicTac's performance, demonstrating its capabilities in spatial resolution, contact localization, and force regression. We also assess its robustness across manufacturing variability, mechanical deformation, and sensing performance under real-world conditions. Furthermore, we validate the effectiveness of MagicGripper through three representative robotic tasks: a teleoperated assembly task, a contact-based alignment task, and an autonomous robotic grasping task. Across these experiments, MagicGripper exhibits reliable multimodal perception, accurate force estimation, and high adaptability to challenging manipulation scenarios. Our results highlight the potential of MagicGripper as a practical and versatile tool for embodied intelligence in complex, contact-rich environments.",contact_rich,arxiv,cs.RO eess.SP,30.1,30,1,1,1,"Enable robots to select, grasp, design, or use tools for physical tasks.","Sensing/control loop using tactile, force, or impedance signals.","tool function is stable across grasp, approach, and target geometry; contact mode abstractions are available or can be searched without semantic role drift",grasp taxonomy or candidate grasp set; camera viewpoint and perceptual segmentation quality,role-equivalent contacts that induce different mechanics; grasp makes the functional end unreachable or reverses the required contact side,"contact-mode planning and contact-rich control; tool-use transfer, task-oriented grasping, and tool design",a compact symbolic language for role-typed contact transitions across tools; generalization from tool parts to ordered tool-target-environment contact productions
arxiv_2601_04356_v2,UNIC: Learning Unified Multimodal Extrinsic Contact Estimation,Zhengtong Xu; Yuki Shirai,2026,arXiv,http://arxiv.org/abs/2601.04356v2,"Contact-rich manipulation requires reliable estimation of extrinsic contacts-the interactions between a grasped object and its environment which provide essential contextual information for planning, control, and policy learning. However, existing approaches often rely on restrictive assumptions, such as predefined contact types, fixed grasp configurations, or camera calibration, that hinder generalization to novel objects and deployment in unstructured environments. In this paper, we present UNIC, a unified multimodal framework for extrinsic contact estimation that operates without any prior knowledge or camera calibration. UNIC directly encodes visual observations in the camera frame and integrates them with proprioceptive and tactile modalities in a fully data-driven manner. It introduces a unified contact representation based on scene affordance maps that captures diverse contact formations and employs a multimodal fusion mechanism with random masking, enabling robust multimodal representation learning. Extensive experiments demonstrate that UNIC performs reliably. It achieves a 9.6 mm average Chamfer distance error on unseen contact locations, performs well on unseen objects, remains robust under missing modalities, and adapts to dynamic camera viewpoints. These results establish extrinsic contact estimation as a practical and versatile capability for contact-rich manipulation. The overview and hardware experiment videos are at https://youtu.be/xpMitkxN6Ls?si=7Vgj-aZ_P1wtnWZN",contact_rich,arxiv,cs.RO cs.AI cs.CV,28.25,31,1,1,1,Plan or control contact-rich manipulation under discontinuous mechanics.,"Learned or engineered affordance labels, maps, relations, or key regions.",affordances can be localized before the full contact sequence is known; contact mode abstractions are available or can be searched without semantic role drift; training distribution covers the relevant contact compositions,grasp taxonomy or candidate grasp set; predicate vocabulary and action library,correct region with wrong contact order; role-equivalent contacts that induce different mechanics; out-of-distribution tool compositions that require unseen role ordering,static or learned action-region representations; contact-mode planning and contact-rich control,a falsifiable account of when the same affordance label fails under a different contact history; a compact symbolic language for role-typed contact transitions across tools; distribution-free checks for impossible contact sequences; mechanism-level error diagnosis instead of plan/no-plan output
